comuna,pobreza_d,pobreza_ext_d,pobreza_multi_4d,pobreza_multi_5d
10210,.32256907,.14483914,.3701211305518169,.4748562339410253
10301,.085530207,.019250028,.2044811320754717,.221813230201021
10302,.11444607,.041971695,.2340780688238315,.2543656908063688
10303,.10699899,.041691843,.2487051999171328,.2888440024860162
10304,.10805501,.037819255,.260878164556962,.3037974683544304
10305,.14832947,.032637637,.1684936684936685,.2447552447552448
10306,.38678241,.17527029,.4543182883023583,.5216304857098235
10307,.16038452,.022261573,.2488900496213111,.2777332264100508
11101,.030281499,.0034003248,.1773172635047256,.1941536912635179
11201,.088346347,.024817625,.1901198170616472,.2006766517144378
11202,.073500969,.06073501,.1529481598733676,.1431144915932746
11301,.052694611,.023952097,.1709650582362729,.1709650582362729
11401,.032077584,0,.2047364400305577,.2268518518518519
11402,.088727675,.021763394,.2354910714285714,.2472098214285714
12101,.022223681,.0074544158,.1075389836333176,.1080021078638873
12301,0,0,.004269854824936,.0350128095644748
12401,.021628994,.0065763835,.1438976061693354,.1442002901198087
13101,.039352525,.010644728,.0765531614671608,.0899634295002032
13102,.068826593,.040050104,.3199867174665315,.3428973170175572
13103,.072224595,.022624169,.3143494728922101,.3495669422618182
13104,.072320648,.0093500745,.2876647409279653,.2977297346091352
13105,.093020216,.025109192,.1749343978560661,.2201048050949664
13106,.05728063,.019342214,.2414072309515707,.2424417371633245
13107,.059735429,.0027904094,.3377699800350898,.3415573372206026
13108,.10366997,.038477462,.1670058103900561,.1679630947414914
13109,.079589449,.020725219,.1831384679914015,.1780580918703049
13110,.044243209,.012649418,.1739347456217092,.1906857342544555
13111,.041993037,.014636243,.2095560325032569,.2082739078216484
13112,.14509439,.038768083,.2542206403438825,.3167605760243337
13113,.0083558783,.0083558783,.0530133129741852,.0577372715560433
13114,.0018238502,.0012240371,.0355816478116787,.040864373699288
13115,.028141715,.0067398562,.1842715063766449,.1698480274981243
13116,.058212992,.012289281,.3595594302730241,.4115854021551468
13117,.051754069,.0073934384,.2362547424786509,.24116010110036
13118,.074265897,.0056067663,.1155679062001048,.1221494996770144
13119,.023977986,.0041335509,.1111216616116453,.1287967235423816
13120,.0086040488,.0052790404,.0499305197125501,.0548020309408596
13121,.055056583,.027534707,.2593044539353264,.2711068387805548
13122,.041404329,.012378083,.2298186788544092,.2626186724147555
13123,.0042841267,.0032915666,.0305806924985151,.0332903610548379
13124,.084277235,.034656402,.1947720432118649,.2248677340456903
13125,.055807844,.021693157,.1616205437330654,.1837306298900965
13126,.031986464,.019113367,.2478291192035773,.300258034248182
13127,.065492719,.0215932,.1896771184546771,.2067879942089256
13128,.031599659,.013840289,.2069807175982426,.2425032253565327
13129,.050647914,.0018647282,.1786562863353723,.1973699758604973
13130,.054881763,.01588033,.2116331398988275,.2015144569517309
13131,.042096116,.0053095422,.2385787516899504,.2721665164488508
13132,0,0,.0323946463584439,.0323946463584439
13201,.07258635,.020321364,.1951614030888241,.2351611186885355
13202,.062453806,0,.1842754598474652,.2345969792133991
13203,.060439963,.022582768,.1928136510561528,.2072464857550928
13301,.060491525,.020982239,.2041951015281558,.2349777526363337
13302,.032846209,.0040600686,.2275473949013201,.2569226563211957
13303,.065398626,.0200704,.2028103044496487,.2148218270336061
13401,.096686624,.022392489,.2093259229512368,.2690453053103992
13402,.08836028,0,.2581463547705108,.2874036690990929
